
> task-manager-client@0.0.1 dev
> vite


  VITE v4.5.14  ready in 80 ms

  ➜  Local:   http://localhost:5173/
  ➜  Network: use --host to expose
(node:14224) [DEP0060] DeprecationWarning: The `util._extend` API is deprecated. Please use Object.assign() instead.
(Use `node --trace-deprecation ...` to show where the warning was created)
11:11:49 PM [vite] hmr update /src/styles.css
11:11:54 PM [vite] hmr update /src/styles.css
11:11:59 PM [vite] hmr update /src/styles.css
11:12:10 PM [vite] hmr update /src/styles.css
11:12:14 PM [vite] hmr update /src/styles.css
11:12:18 PM [vite] hmr update /src/styles.css
11:12:26 PM [vite] hmr update /src/styles.css
3:02:24 PM [vite] hmr update /src/components/TaskForm.jsx
3:03:49 PM [vite] hmr update /src/styles.css
3:04:17 PM [vite] hmr update /src/components/TaskCard.jsx
3:04:32 PM [vite] hmr update /src/components/TaskCard.jsx
3:04:41 PM [vite] hmr update /src/components/TaskCard.jsx
3:04:47 PM [vite] hmr update /src/styles.css
3:05:06 PM [vite] hmr update /src/styles.css
3:05:15 PM [vite] hmr update /src/styles.css
3:07:38 PM [vite] hmr update /src/styles.css
3:07:46 PM [vite] hmr update /src/styles.css
3:07:53 PM [vite] hmr update /src/styles.css
3:07:58 PM [vite] hmr update /src/styles.css
3:08:05 PM [vite] hmr update /src/styles.css
3:08:10 PM [vite] hmr update /src/styles.css
3:08:16 PM [vite] hmr update /src/styles.css
3:08:25 PM [vite] hmr update /src/styles.css
3:08:37 PM [vite] hmr update /src/styles.css
3:08:43 PM [vite] hmr update /src/styles.css
3:08:48 PM [vite] hmr update /src/styles.css
3:09:01 PM [vite] hmr update /src/styles.css
3:09:12 PM [vite] hmr update /src/styles.css
3:09:21 PM [vite] hmr update /src/styles.css
3:14:00 PM [vite] hmr update /src/styles.css
